Springfield,,,,,,,,,,,,
January 2012 - January 2019,,,,,,,,,,,,
Report Date: 02/23/2019 10:12 AM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Springfield,Hibachi Grill and Supreme Buffet Inc.,120703795,5,20353249.27,18609507.09,1743742.18,6361128,4617246.51,1743881.49,523166.8,435972.42,87194.38
Springfield,"Hickory River Madigan, LLC",130704589,2,1304988.6,1185844.79,119143.81,451335,332191.19,119143.81,35743.93,29786.65,5957.28
Springfield,"HIDEOUT RESTAURANT, LLC",130706051,5,25091790.41,23088516.72,2003273.69,8371728,6368454.21,2003273.79,600985.08,500820.92,100164.16
Springfield,"Homespun Republic, LLC",120707911,3,87314.67,77283.25,10031.42,34049,24017.48,10031.52,3009.5,2507.95,501.55
Springfield,"IBPO Elks of the World, Capital City Lodge #1160",120802101,4,6760469.07,6131593.58,628875.49,2364876,1736000.35,628875.65,188664.99,157220.89,31444.1
Springfield,"Illinois Tap, Inc.",120702086,5,11512825.29,10512996.32,999828.97,3736314,2736424.03,999889.97,299969.43,249974.66,49994.77
Springfield,"J & J OPERATIONS, LLC",130700881,4,7782377.28,7138931.32,643445.96,2943725,2300279.04,643445.96,193036.12,160863.54,32172.58
Springfield,"J&M Family, Fun & Food, Inc.",120704057,5,44084074.33,40536630.25,3547444.08,14467860,10920415.33,3547444.67,1064236.77,886864.08,177372.69
Springfield,"J&M Family, Fun & Food, Inc.",130703604,5,30923336.04,28446657.88,2476678.16,10125529,7648807,2476722,743019.95,619183.45,123836.5
Springfield,JACKSON'S HANDLEBAR INC.,150703281,5,5404391.63,4992419.02,411972.61,1881917,1469944.24,411972.76,123593.62,102994.71,20598.91
Springfield,James Davison,170700300,4,1787289.5,1638343.97,148945.53,575015,426069.47,148945.53,44684.67,37237.23,7447.44
Springfield,"JARMAC of Illinois, LLC",130700892,2,124761.82,113110.26,11651.56,42719,31067.29,11651.71,3495.66,2913.08,582.58
Springfield,"JBMP Pizza, LLC",180702983,5,72829.75,65302.23,7527.52,26229,18701.48,7527.52,2258.39,1882,376.39
Springfield,"JCJ Beverages, Inc.",130704160,5,3360557.84,3045953.14,314604.7,1037287,722682.3,314604.7,94382.64,78652.26,15730.38
Springfield,"JCJ Beverages, Inc.",130705530,3,141093.95,128943.12,12150.83,48635,36484.17,12150.83,3645.34,3037.78,607.56
Springfield,Jin Zhi Chen,120707205,1,7413014.72,6828974.16,584040.56,2291338,1707297.34,584040.66,175213.49,146011.27,29202.22
Springfield,Joe's Italian Resturant Inc.,140700168,5,5909044.34,5389972.39,519071.95,2365068,1845996.05,519071.95,155723.53,129769.63,25953.9
